dist_mp,station
33.6,Aberdeen-Matawan
62,Absecon
24.6,Allendale
53.4,Allenhurst
13.7,Anderson Street
53.4,Annandale
54.9,Asbury Park
27.5,Atco
67.9,Atlantic City Rail Terminal
22,Avenel
36.2,Basking Ridge
64.8,Bay Head
15.4,Bay Street
57.5,Belmar
28.4,Berkeley Heights
37.2,Bernardsville
14.2,Bloomfield
34.3,Boonton
33.5,Bound Brook
55.8,Bradley Beach
13.2,Brick Church
34.6,Bridgewater
15.3,Broadway Fair Lawn
65.6,Campbell Hall
26.1,Chatham
14.2,Cherry Hill
12.2,Clifton
30.3,Convent Station
19.5,Cranford
9.3,Delawanna
39.3,Denville
43.1,Dover
29.2,Dunellen
12.6,East Orange
30.3,Edison
51.4,Egg Harbor City
51.4,Elberon
15.4,Elizabeth
19.4,Emerson
12.6,Essex Street
23.9,Fanwood
41.6,Far Hills
11.3,Garfield
20.6,Garwood
29.7,Gillette
44.9,Gladstone
14.8,Glen Ridge
18.2,Glen Rock Boro Hall
19.6,Glen Rock Main Line
60,Hackettstown
54.4,Hamilton
40.5,Hammonton
45,Harriman
17.7,Hawthorne
35.3,Hazlet
55.2,High Bridge
14.8,Highland Avenue
21.5,Hillsdale
22.1,Ho-Ho-Kus
0,Hoboken
34.4,Jersey Avenue
7.6,Kingsland
48.5,Lake Hopatcong
51,Lebanon
27.8,Lincoln Park
18.6,Linden
21.4,Lindenwold
23.7,Little Falls
45.6,Little Silver
49.2,Long Branch
8.2,Lyndhurst
34.3,Lyons
28.1,Madison
29.1,Mahwah
61.8,Manasquan
17.8,Maplewood
9.9,Meadowlands Sports Complex
24.6,Metropark
27.1,Metuchen
39.6,Middletown NJ
71.9,Middletown NY
19.4,Millburn
32.7,Millington
47.2,Monmouth Park
19,Montclair Heights
19.8,Montclair State U
24.4,Montvale
34.6,Morris Plains
32.5,Morristown
45.4,Mount Arlington
52.7,Mount Olive
35.7,Mount Tabor
15.7,Mountain Station
18.2,Mountain Avenue
36.1,Mountain Lakes
26.3,Mountain View
26,Murray Hill
27.9,Nanuet
51,Netcong
25.1,Netherwood
14.9,New Bridge Landing
32.7,New Brunswick
24.4,New Providence
0,New York Penn Station
12.6,Newark Airport
10.4,Newark Broad Street
10,Newark Penn Station
42.4,North Branch
14.4,North Elizabeth
17.9,Oradell
14.1,Orange
81.6,Otisville
23.7,Park Ridge
10.6,Passaic
15.6,Paterson
43.9,Peapack
25.6,Pearl River
10.3,Pennsauken
26.8,Perth Amboy
0,Philadelphia
26.3,Plainfield
12.7,Plauderville
63.7,Point Pleasant Beach
95,Port Jervis
48.4,Princeton Junction
16.5,Radburn Fair Lawn
20.7,Rahway
26.5,Ramsey Main St
27.9,Ramsey Route 17
39.1,Raritan
43.3,Red Bank
20.9,Ridgewood
16.7,River Edge
17.2,Roselle Park
8.4,Rutherford
55.4,Salisbury Mills-Cornwall
3.6,Secaucus Lower Lvl
3.5,Secaucus Upper Lvl
20.4,Short Hills
34.5,Sloatsburg
37.9,Somerville
28.2,South Amboy
16.5,South Orange
59.6,Spring Lake
30.3,Spring Valley
31.1,Stirling
30.5,Suffern
22.7,Summit
11.4,Teterboro
30.1,Towaco
58.1,Trenton
37,Tuxedo
14.2,Union
17.8,Upper Montclair
23.2,Waldwick
16,Walnut Street
16.8,Watchung Avenue
13.5,Watsessing Avenue
25.4,Wayne-Route 23
10.4,Wesmont
21.8,Westfield
20.6,Westwood
47.3,White Horse
9.7,Wood Ridge
23.4,Woodbridge
22.8,Woodcliff Lake